class,instance,time_s,time_e,evt:alias,territory,founder,capital,upper_organization
言語,アッカド語,,,,,,,
言語,アラム語,,,,,,,
言語,ペルシア語,,,,,,,
言語,バビロニア語,,,,,,,
言語,アッシリア語,,,,,,,
言語,パルティア語,,,,,,,
語族,インド・ヨーロッパ語族,,,,,,,
語族,アフロ・アジア語族,,,,,,,
語族,セム語系,,,アフロ・アジア語系,,,,
語族,エジプト語系,,,ハム語系,,,,
語族,ウラル語族,,,,,,,
語族,アルタイ語族,,,,,,,
語族,シナ・チベット語族,,,,,,,
語族,マレー・ポリネシア語族,,,オーストロネシア語族,,,,
語族,南アジア語族,,,オーストロアジア語族,,,,
語族,アフリカ諸語,,,,,,,
語族,アメリカ諸語,,,,,,,
言語,ラテン語,,,,,,,
言語,タミル語,,,,,,,
言語,ソグド語,,,,,,,
言語,バントゥー語,,,,,,,
言語,ヒンディー語,,,,,,,
言語,ウルドゥー語,,,,,,,
言語,スワヒリ語,,,,,,,
言語@文語,サンスクリット語,,,,,,,
言語,モンゴル語,,,,,,,
言語,アラビア語,,,,,,,
言語,イヌイット語,,,,,,,
言語,インドネシア語,,,,,,,
言語,英語,,,,,,,
言語,エストニア語,,,,,,,
言語,ギリシア語,,,,,,,
言語,クメール語,,,,,,,
言語,ケチュア語,,,,,,,
言語,ケルト語,,,,,,,
言語,ゲルマン語,,,,,,,
言語,コサイン語,,,,,,,
言語,古代エジプト語,,,,,,,
言語,コプト語,,,,,,,
言語,スラヴ語,,,,,,,
言語,タイ語,,,,,,,
言語,タガログ語,,,,,,,
言語,チベット語,,,,,,,
言語,中国語,,,,,,,
言語,朝鮮語,,,,,,,
言語,ツングース語,,,,,,,
言語,ドイツ語,,,,,,,
言語,トルコ語,,,,,,,
言語,ナヴァホ語,,,,,,,
言語,ナワトル語,,,,,,,
言語,日本語,,,,,,,
言語,ハウサ語,,,,,,,
言語,バルト語,,,,,,,
言語,ハンガリー語,,,,,,,
言語,ビルマ語,,,ミャンマー語,,,,
言語,フィンランド語,,,,,,,
言語,フェニキア語,,,,,,,
言語,フラニ語,,,,,,,
言語,フランス語,,,,,,,
言語,ベトナム語,,,,,,,
言語,ヘブライ語,,,,,,,
言語,マヤ語,,,,,,,
言語,マレー語,,,,,,,
言語,モン語,,,,,,,
言語,ロシア語,,,,,,,
言語,ロマンス語,,,,,,,
言語,ジャワ語,,,,,,,
言語,マレーシア語,,,,,,,
